term,uses,speechpart
xa,2214874,emoji
xd,2114966,emoji
day,823756,n
i'm,811277,contraction
love,323260.25,n
love,357557.7,v
good,571745.91,a
good,59366.09,n
time,5719.41,v
time,594051.59,n
im,509675,spelling
it's,488475,contraction
happy,479042,a
back,9426.29,a
back,17726.27,v
back,97270.46,n
back,429189,adv
night,422925,n
work,,n
work,413737,v
today,383546,
:),382013,emoji
can't,379633,
home,375348,
don't,373248,
<3,350030,emoji
life,346960,
great,333812,
people,314584,
tomorrow,292623,
god,279879,
wait,277958,
days,273844,
school,268912,
feel,260714,
gonna,259991,
make,259809,
friends,250987,
dont,241615,
sleep,234332,
fun,233916,
lol,233610,
week,230598,
things,229447,
birthday,220354,
world,219162,
weekend,215179,
man,202208,
hate,200553,
year,198943,
morning,198511,
tonight,195176,
bad,188636,
long,188235,
miss,187358,
na,186670,
finally,185586,
:d,176486,emoji
i'll,175390,
family,174946,
tired,173628,
ready,172667,
wanna,172253,
hope,170698,
game,167349,
bed,167106,
baby,164199,
thing,163938,
i've,161638,
facebook,158569,
christmas,157015,
bored,155087,
house,148368,
:/,147075,emoji
da,145722,
give,145239,
ur,144351,
sick,140714,
made,139529,
mind,139094,
watching,138298,
sa,138170,
feeling,136145,
you're,135742,
pretty,134938,
phone,134931,
hours,134398,
find,133763,
heart,133706,
awesome,133287,
:(,131806,emoji
watch,131270,
nice,131107,
friend,130931,
lo,128996,
person,128618,
big,128532,
girl,127677,
hard,127367,
live,126939,
fuck,124186,
yay,123731,
excited,121684,
party,121277,
stop,121137,
put,120222,
start,119026,
shit,118899,
friday,117143,
mom,117016,
job,116924,
play,115685,
haha,115598,
car,114959,
head,114882,
amazing,114488,
status,113408,
movie,112976,
till,112653,
call,112409,
years,110838,
class,110677,
http,110002,
makes,109333,
change,107856,
ng,106538,
thought,105972,
yeah,105816,
de,105567,
end,105458,
la,104901,
ya,104169,
snow,103242,
face,102653,
lost,102131,
ko,102081,
show,101666,
gotta,100257,
times,100230,
guys,98307,
left,98120,
damn,97918,
guess,96852,
omg,96693,
beautiful,96581,
hair,96444,
thinking,96134,
crazy,96098,
leave,95593,
ang,95516,
break,95448,
hour,95223,
didn't,94635,
wow,93255,
hot,91430,
rain,91284,
hell,91282,
music,91042,
feels,90961,
working,90687,
stupid,90388,
doesn't,90029,
that's,89645,
care,88120,
early,87601,
cold,86694,
coming,86199,
fb,85249,
kids,85118,
girls,84910,
stay,84278,
free,83884,
ugh,83821,
song,83789,
remember,83020,
wishes,82909,
place,82665,
wrong,82005,
bit,81691,
eyes,81482,
talk,81409,
waiting,80841,
money,80379,
making,80101,
fucking,79993,
smile,79965,
won't,79886,
die,79595,
glad,79509,
real,79160,
sad,78865,
fall,78476,
ass,78398,
yesterday,78048,
summer,77907,
wonderful,77584,
lot,77380,
TRUE,76922,
found,76778,
dinner,76579,
lord,76218,
monday,76087,
homework,75875,
rest,75858,
room,75591,
half,75265,
funny,74579,
dad,74224,
hey,73863,
there's,73840,
black,73349,
run,72006,
loves,71998,
cool,71774,
copy,71670,
post,71205,
forward,70943,
word,70798,
text,70512,
weather,70459,
stuff,70443,
super,70340,
hit,69997,
hear,69779,
food,69715,
full,69702,
guy,69482,
ha,69358,
playing,69226,
boy,69114,
high,68611,
words,68580,
st,68405,
late,67427,
book,66844,
pain,66362,
part,66221,
saturday,65764,
dream,65576,
sweet,65464,
past,65324,
win,65008,
pm,64366,
wit,64193,
sun,63596,
sunday,63356,
test,63204,
goin,63059,
hurt,62803,
ill,62739,
eat,62511,
worth,61825,
dance,61671,
matter,61309,
dear,61306,
finished,61133,
called,61035,
i'd,60886,
forget,60882,
weeks,60691,
perfect,60124,
taking,59477,
open,59345,
walk,59038,
ppl,59010,
cuz,58968,
wat,58668,
bout,58546,
forever,58448,
read,58238,
isn't,57956,
busy,57933,
sooo,57837,
yo,57460,
thinks,57087,
move,56842,
kinda,56750,
bring,56369,
we're,56338,
wanted,56336,
loving,56083,
sister,56076,
lets,56003,
wake,55575,
soo,55534,
hold,55459,
check,55381,
reason,55375,
understand,55263,
anymore,55098,
what's,54728,
loved,54461,
side,54248,
missing,54124,
merry,54116,
en,53942,
laugh,53837,
let's,53289,
learn,53118,
shopping,53057,
lil,52815,
woke,52814,
paste,52677,
jesus,52657,
told,52628,
number,52239,
paper,52220,
happen,52198,
means,52065,
turn,52023,
(:,51753,emoji
he's,51617,
listening,51512,
:p,51436,emoji
light,51400,
ako,51275,
fire,51151,
red,50919,
luck,50808,
close,50807,
til,50716,
sucks,50691,
favorite,50383,
living,50383,
moment,50336,
ma,50211,
dog,50047,
fight,49924,
di,49792,
minutes,49659,
drink,49646,
dreams,49247,
kind,49161,
ka,49010,
white,48935,
started,48900,
www,48768,
hah,48663,
cry,48473,
drive,48463,
starting,48376,
men,48330,
picture,48022,
nite,47972,
college,47963,
special,47813,
news,47761,
crap,47643,
water,47611,
computer,47594,
ice,47488,
peace,47416,
hand,47410,
comment,47391,
dead,47385,
eating,47258,
top,46693,
kill,46595,
body,46589,
don,46565,
enjoy,46563,
team,46552,
brother,46509,
rock,46442,
buy,46440,
sitting,46396,
question,46341,
stand,46230,
month,46212,
bitch,45905,
son,45751,
watched,45727,
easy,45657,
fast,45593,
profile,45490,
proud,45450,
spend,45447,
cute,45382,
ooo,45290,
you'll,45078,
trip,45027,
send,44830,
mother,44776,
she's,44617,
mo,44571,
study,44546,
won,44340,
mi,44258,
pray,44109,
idea,44003,
ago,43986,
point,43895,
weird,43887,
worst,43845,
hurts,43829,
pa,43776,
se,43776,
cut,43747,
mad,43696,
knew,43412,
lots,43404,
woman,43261,
english,43258,
boys,43137,
set,42992,
didnt,42760,
missed,42708,
reading,42674,
meet,42338,
mine,42260,
cancer,42192,
wtf,42186,
coffee,42151,
lunch,42134,
haven't,42055,
beach,42009,
running,41918,
clean,41832,
el,41717,
children,41706,
tv,41689,
road,41634,
future,41581,
story,41519,
ride,41417,
church,41365,
spent,41238,
you've,41218,
wall,41179,
soooo,41169,
blue,41168,
mood,41129,
whats,41128,
write,41042,
months,41014,
lovely,41002,
movies,40999,
hahaha,40809,
totally,40785,
pay,40622,
nap,40602,
dat,40510,
talking,40422,
final,40408,
yea,40344,
hands,40258,
met,40209,
couple,40077,
heard,39912,
suck,39892,
blessed,39875,
gave,39865,
chocolate,39828,
band,39800,
interesting,39638,
season,39631,
short,39381,
strong,39175,
inside,39132,
lose,39074,
jus,38957,
;),38943,emoji
message,38913,
answer,38790,
truth,38745,
spring,38639,
wont,38600,
games,38483,
single,38481,
death,38236,
list,38060,
city,37995,
lang,37913,
cleaning,37798,
door,37774,
blood,37766,
stuck,37669,
football,37664,
power,37628,
=),37615,emoji
blah,37609,
aint,37487,
listen,37395,
driving,37287,
green,37287,
finish,37165,
exam,37158,
sleeping,37143,
ive,36946,
front,36838,
hates,36827,
mr,36789,
shower,36749,
video,36644,
ni,36531,
sigh,36531,
classes,36511,
leaving,36509,
women,36213,
boring,36049,
thursday,35976,
parents,35897,
moving,35878,
pick,35777,
john,35726,
town,35706,
gettin,35698,
practice,35661,
asleep,35629,
park,35580,
tha,35481,
starts,35332,
beat,35295,
broken,35222,
pictures,35191,
officially,35042,
lady,35038,
chance,34997,
hang,34953,
kid,34951,
internet,34841,
wondering,34820,
child,34812,
eye,34786,
trust,34730,
gym,34654,
soul,34638,
date,34627,
awake,34583,
random,34401,
grow,34327,
happiness,34310,
lives,34309,
happened,34288,
chicken,34146,
dark,34041,
mga,33936,
ah,33907,
em,33883,
page,33861,
cat,33859,
bye,33833,
thankful,33759,
enjoying,33719,
longer,33660,
heaven,33644,
wasn't,33636,
youtube,33601,
hoping,33563,
voice,33555,
needed,33496,
lie,33441,
thanksgiving,33428,
human,33414,
hai,33387,
safe,33338,
alot,33223,
fear,33081,
country,32962,
woo,32922,
takes,32861,
memories,32815,
felt,32552,
sky,32542,
they're,32427,
evening,32410,
xx,32269,
sound,32178,
fine,32174,
decided,32159,
air,32156,
due,32073,
save,31957,
sit,31840,
woot,31831,
kick,31811,
asked,31675,
minute,31635,
ain't,31612,
broke,31565,
bus,31564,
wear,31564,
writing,31559,
kiss,31554,
line,31528,
pass,31481,
bless,31471,
fact,31302,
hmmm,31285,
history,31258,
tuesday,31251,
dnt,31151,
step,31104,
state,31099,
realize,30973,
hanging,30924,
couldn't,30912,
died,30765,
wishing,30633,
who's,30561,
star,30552,
hmm,30500,
moon,30487,
small,30477,
lmao,30441,
young,30213,
problem,30179,
walking,30165,
feet,30130,
concert,30098,
fail,30064,
doesnt,30045,
beer,29975,
warm,29831,
studying,29821,
plan,29725,
bday,29664,
songs,29648,
goodnight,29639,
lucky,29599,
earth,29584,
halloween,29569,
learned,29530,
king,29500,
al,29491,
gay,29468,
holy,29426,
sum,29421,
cup,29414,
brain,29381,
tears,29341,
cake,29297,
sing,29278,
born,29269,
luv,29155,
joy,29122,
holiday,29097,
we'll,28982,
tim,28981,
wouldn't,28912,
